County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
TX: Fayette,14%,37%,7.7,30%,55%,13%,6%,36%,23%,49%,0.03,4.7%,"$63,700",15%,66,11%,85%,22%,83%,65%,89%,,,,
TX: Fisher,38%,38%,7.4,31%,,16%,4%,36%,21%,66%,0.05,4.5%,"$52,800",23%,12,9%,81%,29%,75%,76%,89%,,,,
TX: Floyd,20%,39%,7.9,36%,75%,13%,4%,37%,31%,51%,0.02,6.2%,"$44,300",24%,24,15%,82%,27%,75%,74%,75%,,,,
TX: Foard,0%,37%,3.9,31%,0%,14%,41%,37%,24%,54%,,4.2%,"$41,000",18%,0,7%,76%,19%,83%,69%,81%,,,,
TX: Fort Bend,28%,30%,8.4,26%,90%,10%,6%,35%,18%,77%,0.15,7.7%,"$97,200",17%,"1,738",14%,79%,58%,78%,94%,91%,,,,
TX: Franklin,13%,33%,6.0,26%,20%,14%,21%,35%,19%,70%,0.01,5.3%,"$58,900",9%,27,14%,78%,36%,83%,84%,91%,,,,
TX: Freestone,20%,38%,6.6,33%,29%,17%,9%,38%,24%,55%,0.02,8.3%,"$54,500",22%,31,13%,86%,37%,77%,68%,82%,,,,
TX: Frio,11%,42%,6.7,40%,86%,15%,12%,38%,28%,31%,0.02,5.7%,"$47,000",41%,45,16%,82%,16%,67%,65%,65%,,,,
TX: Gaines,14%,38%,8.2,36%,45%,13%,1%,37%,40%,28%,0.06,5.6%,"$63,500",17%,15,14%,69%,23%,72%,80%,62%,,,,
TX: Galveston,34%,34%,7.2,30%,87%,14%,9%,39%,20%,67%,0.12,8.7%,"$78,500",25%,927,15%,82%,40%,68%,89%,90%,,,,
TX: Garza,18%,40%,7.3,38%,,16%,5%,37%,27%,19%,0.02,6.8%,"$50,900",8%,8,8%,85%,27%,68%,83%,65%,,,,
TX: Gillespie,29%,33%,8.0,27%,66%,13%,3%,34%,26%,48%,0.07,4.8%,"$64,400",26%,13,15%,73%,23%,71%,83%,90%,,,,
TX: Glasscock,11%,37%,5.0,33%,,11%,36%,36%,19%,48%,0.00,3.6%,"$85,000",28%,0,10%,71%,33%,66%,86%,69%,,,,
TX: Goliad,27%,37%,7.2,31%,47%,14%,10%,37%,18%,66%,0.00,7.7%,"$55,000",12%,16,8%,81%,58%,80%,68%,82%,,,,
TX: Gonzales,21%,40%,6.4,37%,39%,14%,17%,38%,30%,33%,0.03,5.4%,"$55,400",26%,135,17%,80%,35%,70%,77%,76%,,,,
TX: Gray,12%,38%,6.9,34%,88%,16%,8%,38%,29%,45%,0.07,8.1%,"$54,100",18%,116,14%,82%,19%,72%,77%,80%,,,,
TX: Grayson,24%,36%,7.1,28%,69%,16%,6%,36%,25%,60%,0.11,5.9%,"$59,600",24%,336,14%,79%,30%,68%,79%,90%,,,,
TX: Gregg,23%,39%,6.6,32%,82%,17%,10%,39%,26%,57%,0.10,8.3%,"$51,400",29%,564,16%,85%,20%,59%,83%,85%,,,,
TX: Grimes,26%,38%,6.7,34%,39%,15%,12%,38%,25%,46%,0.14,8.0%,"$57,800",29%,108,13%,80%,45%,76%,77%,81%,,,,
TX: Guadalupe,33%,37%,7.5,28%,69%,11%,12%,37%,18%,57%,0.06,6.1%,"$78,900",22%,295,12%,83%,43%,77%,89%,89%,,,,
TX: Hale,19%,39%,7.3,35%,73%,14%,8%,36%,29%,46%,0.06,6.8%,"$46,600",32%,75,17%,84%,22%,63%,76%,75%,,,,
TX: Hall,0%,42%,5.8,38%,29%,19%,13%,39%,36%,53%,0.02,5.8%,"$36,700",31%,9,12%,77%,19%,69%,70%,81%,,,,
TX: Hamilton,15%,36%,6.3,31%,26%,17%,12%,37%,27%,48%,0.03,4.5%,"$52,800",22%,9,16%,75%,25%,84%,74%,87%,,,,
TX: Hansford,0%,40%,7.5,37%,62%,15%,4%,37%,33%,51%,0.03,3.5%,"$61,100",17%,11,12%,87%,28%,77%,76%,71%,,,,
TX: Hardeman,38%,38%,6.8,33%,5%,17%,8%,37%,30%,52%,0.02,4.4%,"$63,500",25%,2,9%,77%,21%,69%,71%,81%,,,,
TX: Hardin,15%,36%,6.9,30%,52%,16%,9%,37%,18%,58%,0.07,9.0%,"$69,200",24%,88,12%,87%,49%,81%,84%,89%,,,,
TX: Harris,32%,35%,7.6,28%,90%,14%,6%,38%,28%,62%,0.21,8.9%,"$61,900",28%,"33,021",20%,78%,47%,55%,87%,82%,,,,
TX: Harrison,31%,37%,7.3,31%,58%,16%,5%,38%,23%,57%,0.14,7.9%,"$55,200",34%,233,14%,85%,28%,73%,73%,86%,,,,
TX: Hartley,26%,35%,7.4,29%,74%,12%,12%,36%,24%,38%,0.03,2.1%,"$74,700",16%,23,9%,90%,11%,65%,85%,84%,,,,
TX: Haskell,36%,40%,6.1,38%,54%,18%,11%,37%,30%,46%,0.02,4.3%,"$44,800",30%,7,10%,76%,17%,72%,72%,74%,,,,
TX: Hays,33%,33%,8.3,26%,79%,12%,2%,36%,19%,68%,0.15,6.3%,"$77,500",17%,469,19%,78%,50%,62%,87%,90%,,,,
TX: Hemphill,33%,35%,8.2,29%,84%,12%,3%,36%,25%,51%,0.01,4.4%,"$65,700",12%,14,12%,68%,20%,67%,81%,82%,,,,
TX: Henderson,36%,36%,6.7,33%,55%,17%,8%,38%,27%,50%,0.11,6.4%,"$52,700",22%,269,13%,81%,44%,76%,79%,85%,,,,
TX: Hidalgo,33%,48%,5.3,37%,62%,18%,20%,35%,43%,51%,0.19,11.6%,"$46,700",31%,"2,622",25%,79%,23%,68%,73%,67%,,,,
TX: Hill,15%,37%,7.7,31%,46%,15%,2%,36%,27%,53%,0.13,6.3%,"$56,600",23%,60,16%,81%,42%,73%,82%,84%,,,,
TX: Hockley,25%,39%,6.5,35%,60%,14%,15%,36%,26%,51%,0.08,7.9%,"$55,500",19%,106,13%,78%,29%,73%,77%,76%,,,,
TX: Hood,19%,35%,7.7,26%,73%,14%,5%,34%,20%,58%,0.04,6.6%,"$85,400",14%,95,13%,87%,53%,80%,88%,91%,,,,
TX: Hopkins,17%,37%,6.9,32%,40%,16%,9%,37%,27%,57%,0.07,5.1%,"$53,600",21%,53,15%,83%,24%,69%,83%,85%,,,,
TX: Houston,30%,41%,6.0,36%,54%,18%,14%,39%,25%,47%,0.19,5.3%,"$46,000",35%,49,18%,88%,36%,70%,67%,81%,,,,
TX: Howard,18%,39%,6.6,35%,79%,16%,12%,38%,22%,44%,0.06,8.1%,"$58,400",32%,226,15%,80%,21%,66%,79%,80%,,,,
TX: Hudspeth,18%,44%,1.7,44%,0%,17%,58%,39%,35%,31%,0.23,8.0%,"$40,700",31%,4,20%,78%,44%,73%,59%,57%,,,,
TX: Hunt,34%,36%,6.8,30%,59%,16%,8%,38%,23%,54%,0.10,6.5%,"$53,800",24%,315,17%,82%,43%,70%,83%,86%,,,,
TX: Hutchinson,27%,37%,6.8,31%,59%,16%,9%,37%,23%,60%,0.08,7.2%,"$62,500",23%,96,10%,80%,18%,80%,83%,86%,,,,
TX: Irion,0%,36%,5.5,29%,54%,14%,26%,36%,15%,79%,0.03,6.0%,"$73,800",24%,1,21%,83%,29%,83%,66%,94%,,,,
TX: Jack,17%,38%,6.2,33%,52%,16%,16%,37%,27%,43%,0.04,7.0%,"$56,000",29%,20,12%,83%,37%,77%,74%,81%,,,,
TX: Jackson,36%,38%,7.4,31%,51%,15%,6%,36%,25%,51%,0.06,5.8%,"$56,100",22%,31,16%,80%,41%,70%,76%,81%,,,,
TX: Jasper,18%,37%,6.8,33%,33%,18%,6%,38%,20%,40%,0.15,11.2%,"$51,200",32%,121,9%,81%,41%,76%,74%,85%,,,,
TX: Jeff Davis,40%,36%,8.1,30%,43%,10%,8%,34%,27%,63%,0.03,5.1%,"$55,700",0%,5,8%,75%,29%,84%,63%,81%,,,,
TX: Jefferson,16%,41%,6.8,34%,61%,17%,8%,42%,26%,53%,0.25,11.9%,"$48,800",35%,"1,797",14%,88%,20%,62%,78%,84%,,,,
TX: Jim Hogg,20%,44%,5.4,42%,,19%,19%,37%,24%,33%,,9.5%,"$41,600",39%,4,18%,83%,29%,71%,58%,75%,,,,
TX: Jim Wells,15%,41%,6.7,38%,56%,16%,10%,37%,27%,46%,0.20,13.0%,"$48,800",39%,241,17%,83%,42%,71%,65%,78%,,,,
TX: Johnson,16%,37%,7.7,30%,65%,13%,6%,35%,23%,52%,0.07,6.5%,"$67,400",21%,297,13%,88%,59%,73%,88%,86%,,,,
TX: Jones,34%,39%,6.7,34%,17%,15%,12%,38%,23%,38%,0.08,7.0%,"$47,000",22%,54,11%,80%,31%,79%,79%,79%,,,,
TX: Karnes,14%,40%,7.7,35%,53%,13%,6%,37%,22%,40%,0.19,6.3%,"$56,000",28%,40,13%,83%,25%,73%,70%,76%,,,,
TX: Kaufman,27%,36%,8.0,29%,59%,13%,3%,36%,20%,58%,0.10,6.5%,"$76,400",23%,266,14%,83%,60%,77%,85%,86%,,,,
TX: Kendall,27%,31%,8.5,24%,79%,11%,1%,33%,18%,72%,0.03,5.0%,"$103,200",11%,44,15%,72%,50%,76%,92%,94%,,,,
TX: Kenedy,0%,44%,4.4,50%,0%,14%,37%,38%,29%,1%,,5.4%,"$46,000",0%,4,10%,99%,19%,21%,50%,22%,,,,
TX: Kent,100%,35%,4.1,28%,,19%,30%,35%,15%,84%,,3.9%,"$53,500",9%,3,8%,80%,23%,81%,79%,94%,,,,
TX: Kerr,33%,36%,7.4,29%,63%,15%,5%,36%,27%,57%,0.02,5.9%,"$57,400",24%,121,12%,75%,22%,68%,86%,89%,,,,
TX: Kimble,3%,38%,6.3,33%,63%,19%,8%,36%,27%,56%,0.01,5.1%,"$47,900",13%,5,14%,76%,18%,76%,76%,84%,,,,
TX: King,0%,37%,5.3,32%,,17%,22%,35%,22%,27%,,1.7%,"$78,200",29%,0,4%,75%,20%,39%,92%,78%,,,,
TX: Kinney,11%,42%,4.8,39%,39%,18%,26%,38%,21%,47%,0.02,6.0%,"$62,600",53%,1,9%,78%,4%,75%,59%,81%,,,,
TX: Kleberg,12%,41%,5.7,36%,67%,17%,17%,37%,24%,66%,0.04,8.4%,"$51,600",36%,160,20%,80%,25%,52%,78%,79%,,,,
TX: Knox,33%,39%,7.3,35%,39%,15%,6%,37%,28%,62%,0.03,5.6%,"$46,100",20%,9,9%,85%,17%,85%,79%,81%,,,,
TX: La Salle,20%,41%,7.0,39%,,14%,12%,37%,22%,16%,0.02,6.8%,"$45,600",28%,7,20%,86%,25%,74%,65%,65%,,,,
TX: Lamar,14%,37%,5.9,31%,63%,18%,14%,38%,25%,57%,0.14,6.5%,"$44,700",32%,191,15%,80%,18%,65%,70%,86%,,,,
TX: Lamb,53%,41%,6.8,38%,75%,15%,11%,38%,32%,49%,0.06,5.2%,"$48,100",25%,43,14%,79%,23%,73%,70%,76%,,,,
TX: Lampasas,11%,35%,7.3,29%,69%,15%,6%,36%,21%,60%,0.02,5.4%,"$69,100",25%,26,13%,80%,37%,80%,82%,90%,,,,
TX: Lavaca,27%,37%,7.7,30%,49%,14%,4%,36%,21%,53%,0.05,5.2%,"$58,000",16%,31,15%,80%,34%,76%,78%,86%,,,,
TX: Lee,28%,37%,7.7,31%,44%,13%,6%,38%,24%,40%,0.09,4.9%,"$61,400",28%,43,19%,78%,44%,81%,80%,83%,,,,
TX: Leon,20%,38%,6.6,33%,19%,18%,8%,37%,28%,46%,0.08,7.8%,"$52,900",32%,18,12%,81%,44%,78%,72%,82%,,,,
TX: Liberty,19%,37%,7.4,37%,49%,16%,4%,39%,27%,42%,0.20,10.6%,"$61,200",20%,324,14%,82%,63%,78%,83%,78%,,,,
TX: Limestone,13%,40%,6.7,35%,59%,17%,9%,39%,26%,48%,0.06,7.1%,"$53,100",29%,87,14%,84%,30%,74%,67%,83%,,,,
TX: Lipscomb,50%,36%,5.0,31%,,14%,32%,36%,29%,52%,0.12,4.2%,"$67,800",25%,5,10%,85%,24%,74%,86%,83%,,,,
TX: Live Oak,24%,41%,7.4,36%,22%,16%,4%,37%,25%,40%,0.01,7.5%,"$54,000",23%,39,9%,78%,40%,82%,64%,78%,,,,
TX: Llano,39%,34%,6.3,28%,77%,17%,13%,35%,26%,48%,0.02,5.7%,"$60,700",21%,26,16%,75%,40%,78%,84%,86%,,,,
TX: Loving,38%,36%,5.5,28%,,18%,19%,36%,13%,100%,,1.7%,"$97,500",0%,1,11%,85%,5%,18%,97%,97%,,,,
TX: Lubbock,36%,36%,7.0,33%,87%,16%,8%,35%,21%,67%,0.13,5.7%,"$56,500",29%,"2,563",20%,80%,10%,56%,82%,87%,,,,
TX: Lynn,42%,40%,6.0,37%,,17%,15%,37%,25%,65%,0.12,5.4%,"$51,000",26%,7,12%,81%,32%,69%,79%,79%,,,,
TX: Madison,9%,38%,6.8,32%,,14%,13%,39%,27%,42%,0.04,7.2%,"$58,700",16%,44,18%,75%,37%,76%,76%,81%,,,,
TX: Marion,19%,39%,7.0,33%,46%,18%,3%,40%,22%,46%,0.01,8.2%,"$42,000",26%,66,13%,80%,51%,78%,69%,86%,,,,
TX: Martin,11%,37%,8.1,33%,3%,11%,7%,36%,22%,49%,0.07,6.1%,"$73,400",12%,11,19%,89%,22%,70%,72%,79%,,,,
TX: Mason,30%,36%,7.8,29%,66%,14%,3%,35%,31%,83%,0.02,5.6%,"$63,100",11%,3,16%,74%,30%,75%,77%,85%,,,,
TX: Matagorda,19%,41%,6.2,36%,69%,17%,14%,38%,24%,55%,0.09,10.5%,"$52,200",32%,128,19%,85%,28%,70%,68%,82%,,,,
TX: Maverick,21%,42%,5.5,42%,67%,18%,18%,38%,36%,53%,0.17,15.0%,"$41,300",31%,103,24%,82%,19%,66%,65%,61%,,,,
TX: McCulloch,14%,38%,5.4,33%,55%,18%,19%,37%,24%,54%,0.03,7.5%,"$47,600",31%,4,11%,85%,17%,70%,84%,80%,,,,
TX: McLennan,18%,39%,6.1,33%,64%,16%,17%,36%,21%,61%,0.19,6.2%,"$55,100",31%,"1,025",18%,82%,18%,59%,82%,85%,,,,
TX: McMullen,0%,36%,5.9,28%,18%,12%,25%,36%,14%,50%,,2.8%,"$45,900",40%,1,16%,69%,41%,85%,77%,89%,,,,
TX: Medina,26%,38%,8.1,32%,53%,12%,4%,35%,21%,56%,0.05,6.3%,"$62,600",22%,100,12%,78%,53%,80%,80%,84%,,,,
TX: Menard,20%,38%,6.8,34%,73%,17%,6%,36%,31%,50%,0.01,5.2%,"$41,500",6%,6,11%,70%,24%,61%,63%,83%,,,,
TX: Midland,32%,33%,8.3,29%,85%,11%,5%,35%,20%,59%,0.08,8.1%,"$92,100",22%,506,16%,83%,19%,67%,87%,84%,,,,
TX: Milam,30%,37%,6.5,34%,55%,17%,11%,38%,22%,47%,0.06,7.1%,"$50,000",38%,56,14%,82%,45%,74%,73%,84%,,,,
TX: Mills,13%,36%,6.7,31%,3%,17%,9%,36%,30%,42%,0.02,4.1%,"$49,100",19%,2,13%,73%,18%,88%,76%,83%,,,,
TX: Mitchell,10%,38%,7.7,35%,4%,13%,6%,38%,23%,36%,0.04,7.9%,"$46,200",29%,16,13%,76%,25%,81%,72%,85%,,,,
TX: Montague,32%,37%,6.9,31%,21%,18%,5%,37%,25%,57%,0.05,6.6%,"$56,000",28%,31,12%,81%,40%,77%,76%,87%,,,,
TX: Montgomery,29%,36%,7.6,28%,83%,12%,8%,35%,20%,67%,0.09,7.5%,"$85,300",16%,934,14%,80%,51%,71%,92%,89%,,,,
TX: Moore,19%,38%,7.7,35%,65%,12%,9%,38%,32%,44%,0.07,3.8%,"$53,300",21%,45,15%,81%,21%,66%,85%,65%,,,,
TX: Morris,5%,38%,7.2,32%,3%,18%,1%,39%,22%,50%,0.04,11.4%,"$45,100",28%,41,13%,83%,35%,73%,81%,91%,,,,
TX: Motley,0%,36%,7.6,29%,14%,15%,3%,36%,24%,64%,,4.6%,"$46,700",33%,0,11%,71%,33%,71%,70%,89%,,,,
TX: Nacogdoches,35%,41%,6.2,33%,59%,19%,9%,39%,25%,56%,0.18,6.6%,"$49,400",29%,192,19%,77%,21%,58%,82%,84%,,,,
TX: Navarro,22%,39%,6.9,34%,53%,16%,8%,38%,28%,56%,0.11,6.2%,"$50,800",27%,166,16%,84%,33%,70%,80%,80%,,,,
TX: Newton,20%,39%,5.5,35%,6%,20%,14%,40%,25%,43%,0.11,11.0%,"$45,800",29%,9,9%,90%,61%,83%,75%,81%,,,,
TX: Nolan,23%,38%,7.0,34%,41%,16%,7%,37%,24%,53%,0.06,5.3%,"$41,700",28%,54,15%,77%,21%,68%,75%,83%,,,,
TX: Nueces,22%,41%,7.0,32%,93%,15%,10%,35%,24%,58%,0.13,9.0%,"$55,700",34%,"2,467",18%,82%,18%,59%,84%,84%,,,,
TX: Ochiltree,13%,39%,8.1,36%,88%,13%,3%,36%,32%,39%,0.01,5.8%,"$71,500",20%,30,17%,74%,15%,73%,81%,74%,,,,
TX: Oldham,5%,35%,5.2,29%,0%,12%,33%,35%,19%,66%,0.10,3.9%,"$61,000",4%,3,10%,74%,48%,73%,85%,92%,,,,
TX: Orange,18%,40%,6.6,30%,52%,17%,10%,39%,19%,57%,0.23,10.5%,"$61,300",26%,272,12%,86%,36%,74%,86%,88%,,,,
TX: Palo Pinto,24%,37%,5.1,33%,39%,17%,24%,37%,27%,54%,0.04,7.0%,"$59,500",21%,54,19%,76%,38%,75%,82%,88%,,,,
TX: Panola,19%,38%,6.8,31%,35%,16%,10%,38%,22%,59%,0.06,8.4%,"$51,900",21%,68,12%,89%,36%,77%,80%,84%,,,,
TX: Parker,15%,33%,7.8,26%,56%,13%,6%,35%,20%,63%,0.03,5.9%,"$88,600",14%,163,13%,82%,52%,81%,89%,89%,,,,
TX: Parmer,17%,39%,7.6,37%,16%,13%,8%,37%,32%,40%,0.21,2.6%,"$62,000",10%,8,17%,83%,17%,65%,76%,74%,,,,
TX: Pecos,14%,40%,6.6,36%,53%,12%,19%,37%,29%,36%,0.05,8.1%,"$52,800",22%,56,12%,83%,16%,74%,70%,72%,,,,
TX: Polk,20%,40%,6.7,35%,38%,18%,5%,38%,26%,41%,0.09,8.7%,"$47,500",36%,134,14%,82%,34%,77%,77%,82%,,,,
TX: Potter,27%,39%,6.5,38%,74%,16%,12%,37%,30%,44%,0.17,5.5%,"$45,900",32%,781,20%,82%,14%,55%,78%,77%,,,,
TX: Presidio,67%,45%,4.3,47%,78%,24%,18%,38%,40%,51%,0.16,14.7%,"$40,000",36%,6,15%,57%,6%,54%,63%,49%,,,,
TX: Rains,21%,35%,,30%,44%,16%,,37%,24%,45%,0.00,4.7%,"$59,200",20%,13,14%,73%,46%,78%,78%,83%,,,,
TX: Randall,18%,36%,8.3,26%,86%,12%,2%,33%,15%,71%,0.08,4.5%,"$71,000",23%,713,11%,83%,18%,70%,90%,93%,,,,
TX: Reagan,36%,39%,8.8,35%,93%,10%,2%,37%,22%,44%,0.01,9.7%,"$66,700",9%,2,9%,73%,32%,66%,76%,83%,,,,
TX: Real,18%,39%,2.0,36%,0%,21%,49%,38%,25%,39%,0.01,6.7%,"$43,100",45%,3,13%,72%,10%,72%,63%,88%,,,,
TX: Red River,14%,40%,4.7,33%,21%,18%,26%,39%,25%,58%,0.20,6.4%,"$46,700",27%,37,11%,79%,45%,78%,71%,89%,,,,
TX: Reeves,15%,40%,8.1,37%,64%,11%,7%,37%,25%,36%,0.02,7.1%,"$64,900",33%,59,13%,79%,20%,80%,65%,69%,,,,
TX: Refugio,12%,38%,6.9,35%,10%,16%,9%,37%,22%,46%,0.05,8.2%,"$48,400",32%,25,14%,84%,41%,73%,73%,83%,,,,
TX: Roberts,57%,34%,5.8,27%,2%,15%,21%,35%,17%,56%,,4.6%,"$69,900",8%,1,6%,79%,17%,83%,81%,93%,,,,
TX: Robertson,6%,38%,7.2,32%,38%,14%,10%,38%,23%,48%,0.20,6.4%,"$55,200",35%,65,14%,78%,38%,73%,73%,85%,,,,
TX: Rockwall,33%,31%,8.7,23%,91%,10%,3%,33%,16%,79%,0.04,6.0%,"$106,200",14%,88,12%,79%,58%,83%,95%,93%,,,,
TX: Runnels,31%,37%,6.3,34%,37%,15%,16%,36%,23%,49%,0.03,4.9%,"$51,000",24%,18,11%,83%,35%,73%,74%,81%,,,,
TX: Rusk,14%,38%,7.1,31%,41%,14%,11%,38%,24%,52%,0.04,7.3%,"$57,000",23%,199,13%,87%,39%,79%,66%,83%,,,,
TX: Sabine,18%,38%,6.3,32%,75%,21%,6%,38%,22%,49%,0.04,10.8%,"$51,000",22%,32,16%,90%,32%,86%,78%,86%,,,,
TX: San Augustine,36%,41%,5.5,35%,41%,21%,12%,40%,24%,41%,0.22,9.6%,"$45,800",23%,31,15%,78%,36%,73%,74%,82%,,,,
TX: San Jacinto,30%,40%,7.1,33%,68%,17%,3%,39%,26%,40%,0.06,8.1%,"$51,600",19%,57,15%,79%,59%,80%,78%,85%,,,,
TX: San Patricio,17%,41%,6.8,37%,62%,15%,11%,37%,22%,50%,0.07,10.3%,"$56,900",36%,244,16%,86%,33%,68%,74%,81%,,,,
TX: San Saba,33%,38%,6.5,34%,5%,15%,14%,37%,35%,44%,0.09,5.2%,"$48,300",16%,7,14%,70%,36%,71%,80%,81%,,,,
TX: Schleicher,0%,37%,8.1,32%,75%,13%,3%,35%,26%,45%,0.02,6.9%,"$54,500",1%,0,12%,87%,20%,78%,64%,79%,,,,
TX: Scurry,12%,38%,7.9,34%,33%,14%,3%,37%,26%,50%,0.05,8.2%,"$57,200",16%,53,11%,82%,16%,78%,77%,80%,,,,
TX: Shackelford,50%,34%,7.4,27%,79%,15%,5%,35%,24%,81%,0.02,5.3%,"$64,900",31%,4,15%,88%,36%,80%,80%,88%,,,,
TX: Shelby,24%,40%,6.6,36%,34%,18%,7%,39%,31%,45%,0.09,6.8%,"$41,200",29%,71,14%,83%,33%,75%,73%,78%,,,,
TX: Sherman,6%,37%,7.1,32%,,14%,10%,36%,30%,51%,0.03,3.1%,"$66,400",9%,5,9%,77%,31%,73%,81%,74%,,,,
TX: Smith,18%,38%,7.1,28%,69%,15%,8%,37%,25%,66%,0.17,6.8%,"$60,700",23%,737,16%,82%,29%,67%,84%,87%,,,,
TX: Somervell,17%,36%,7.3,30%,76%,18%,0%,36%,19%,54%,0.00,6.5%,"$68,000",9%,10,19%,80%,45%,84%,82%,92%,,,,
TX: Starr,53%,47%,4.3,48%,34%,21%,24%,37%,41%,44%,0.23,17.3%,"$35,700",40%,167,22%,72%,25%,75%,61%,58%,,,,
TX: Stephens,29%,38%,6.2,33%,45%,17%,13%,38%,28%,43%,0.01,6.1%,"$48,900",39%,18,11%,80%,24%,74%,77%,80%,,,,
TX: Sterling,22%,38%,5.7,33%,,8%,36%,36%,20%,39%,0.00,6.4%,"$68,400",54%,2,8%,89%,32%,87%,89%,89%,,,,
TX: Stonewall,0%,37%,7.4,32%,,15%,5%,36%,20%,39%,0.01,5.0%,"$59,800",30%,1,7%,86%,16%,80%,83%,82%,,,,
TX: Sutton,7%,38%,7.9,34%,77%,12%,6%,35%,23%,50%,0.01,9.8%,"$64,600",30%,6,12%,84%,18%,68%,55%,75%,,,,
TX: Swisher,0%,41%,6.0,38%,45%,18%,14%,38%,31%,35%,0.12,5.2%,"$39,900",23%,40,15%,79%,30%,72%,75%,75%,,,,
TX: Tarrant,22%,38%,7.5,29%,94%,13%,8%,33%,22%,64%,0.17,7.3%,"$72,100",26%,"7,977",17%,80%,43%,60%,90%,86%,,,,
TX: Taylor,18%,37%,6.7,29%,86%,16%,10%,38%,22%,61%,0.08,5.5%,"$53,000",28%,580,14%,79%,10%,58%,82%,89%,,,,
TX: Terrell,14%,39%,4.8,33%,,10%,42%,37%,20%,67%,,4.6%,"$42,800",39%,2,3%,72%,33%,96%,67%,85%,,,,
TX: Terry,23%,41%,5.8,40%,47%,16%,20%,38%,32%,38%,0.08,7.3%,"$47,300",26%,33,17%,75%,27%,63%,75%,70%,,,,
TX: Throckmorton,20%,36%,4.0,30%,57%,19%,32%,36%,25%,66%,0.03,4.9%,"$46,800",40%,0,7%,80%,18%,73%,77%,87%,,,,
TX: Titus,13%,39%,6.5,36%,51%,15%,14%,37%,30%,45%,0.08,6.7%,"$53,000",30%,116,17%,81%,17%,68%,79%,78%,,,,
TX: Tom Green,43%,37%,7.1,31%,71%,14%,10%,36%,21%,60%,0.09,6.3%,"$56,000",25%,375,14%,78%,12%,66%,80%,86%,,,,
TX: Travis,22%,25%,7.8,22%,95%,13%,5%,32%,18%,76%,0.22,6.3%,"$82,600",23%,"4,358",19%,70%,37%,53%,91%,90%,,,,
TX: Trinity,50%,38%,6.4,33%,79%,19%,8%,38%,25%,46%,0.07,8.1%,"$47,700",31%,25,12%,85%,50%,76%,72%,83%,,,,
TX: Tyler,9%,38%,5.6,33%,48%,18%,16%,38%,23%,34%,0.11,9.9%,"$48,800",30%,64,14%,86%,41%,83%,73%,81%,,,,
TX: Upshur,14%,37%,7.3,30%,30%,17%,3%,37%,21%,51%,0.05,7.7%,"$58,200",27%,118,13%,83%,45%,77%,83%,87%,,,,
TX: Upton,40%,38%,7.8,35%,66%,11%,9%,37%,22%,41%,0.10,5.6%,"$59,600",24%,3,10%,89%,40%,77%,61%,78%,,,,
TX: Uvalde,6%,41%,5.6,37%,72%,14%,25%,37%,30%,54%,0.15,6.4%,"$49,300",38%,73,15%,79%,15%,69%,70%,76%,,,,
TX: Val Verde,25%,41%,5.8,39%,77%,15%,22%,38%,30%,59%,0.12,7.9%,"$54,300",33%,68,17%,81%,9%,65%,67%,70%,,,,
TX: Van Zandt,15%,36%,6.7,30%,27%,16%,11%,36%,27%,55%,0.03,6.1%,"$57,900",25%,62,13%,79%,53%,79%,77%,85%,,,,
TX: Victoria,24%,38%,7.2,32%,73%,14%,9%,36%,24%,56%,0.07,8.3%,"$53,600",30%,393,16%,80%,20%,67%,73%,83%,,,,
TX: Walker,24%,38%,7.3,33%,71%,15%,6%,40%,21%,48%,0.04,7.2%,"$43,000",27%,264,22%,83%,39%,52%,83%,86%,,,,
TX: Waller,20%,39%,7.1,33%,21%,13%,11%,38%,28%,58%,0.11,7.8%,"$69,500",22%,165,20%,82%,48%,69%,79%,85%,,,,
TX: Ward,14%,38%,8.4,35%,81%,11%,3%,37%,24%,48%,0.01,9.4%,"$57,300",18%,58,12%,83%,25%,75%,77%,80%,,,,
TX: Washington,24%,37%,7.4,30%,60%,14%,7%,37%,22%,58%,0.02,5.6%,"$62,700",22%,82,15%,80%,20%,74%,77%,88%,,,,
TX: Webb,24%,42%,6.8,39%,92%,16%,10%,38%,39%,49%,0.12,8.5%,"$56,600",31%,"1,031",27%,81%,24%,63%,72%,68%,,,,
TX: Wharton,9%,39%,7.5,35%,61%,15%,5%,38%,30%,53%,0.08,6.8%,"$55,900",26%,182,18%,87%,30%,66%,77%,80%,,,,
TX: Wheeler,10%,38%,7.3,33%,40%,17%,3%,37%,29%,57%,0.10,6.0%,"$49,800",26%,7,16%,83%,27%,70%,77%,80%,,,,
TX: Wichita,31%,38%,6.4,30%,69%,17%,11%,39%,21%,59%,0.10,6.7%,"$54,700",30%,498,17%,75%,8%,61%,81%,88%,,,,
