County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AR: Newton,13%,36%,6.4,30%,59%,17%,11%,36%,12%,59%,,5.0%,"$40,700",19%,25,16%,82%,55%,84%,64%,86%,,,,
AR: Quachita,37%,39%,5.6,37%,48%,18%,18%,40%,10%,56%,0.1,6.0%,"$46,400",46%,113,16%,88%,23%,71%,72%,86%,,,,
AR: Perry,31%,36%,6.7,34%,44%,18%,5%,37%,11%,60%,0.05,5.5%,"$46,300",23%,53,10%,80%,64%,80%,73%,89%,,,,
AR: Phillips,12%,45%,4.5,41%,54%,23%,19%,40%,11%,61%,0.3,9.1%,"$35,200",61%,146,14%,87%,20%,46%,71%,82%,,,,
AR: Pike,0%,38%,6.5,34%,31%,18%,9%,35%,16%,59%,0.06,5.9%,"$43,100",15%,16,10%,78%,46%,74%,71%,85%,,,,
AR: Poinsett,25%,39%,6,36%,9%,20%,10%,36%,13%,43%,0.07,5.5%,"$36,200",31%,79,15%,81%,37%,63%,76%,81%,,,,
AR: Polk,21%,35%,5.2,34%,57%,20%,17%,37%,18%,53%,0.14,6.6%,"$42,900",22%,60,17%,78%,23%,76%,74%,85%,,,,
AR: Pope,26%,36%,6.5,33%,49%,17%,9%,34%,14%,54%,0.12,5.9%,"$46,400",25%,235,14%,83%,20%,72%,79%,85%,,,,
AR: Prairie,31%,37%,7.4,33%,22%,17%,2%,37%,11%,64%,0.04,5.3%,"$48,500",24%,14,10%,80%,42%,75%,66%,86%,,,,
AR: Pulaski,28%,35%,6.7,30%,76%,15%,13%,40%,12%,69%,0.16,7.4%,"$56,200",38%,4170,17%,82%,21%,58%,82%,91%,,,,
AR: Randolph,17%,39%,6.3,36%,28%,19%,9%,35%,14%,61%,0.04,5.9%,"$46,500",24%,52,14%,82%,32%,74%,69%,85%,,,,
